"","org","cast(split_zc.doc_max as text)","zip_code","count_zip_code","latitude","longitude"
"1981","EASTERN CONNECTICUT IMAGING PC","11","60404","11",NA,NA
"1982","EASTERN CONNECTICUT MEDICAL PROFESSIONALS FOUNDATION INC","1","6040","7",NA,NA
"1983","EASTERN KENTUCKY IMAGING, PSC","1","41653","1",37.536748,-82.771139
"1984","EASTERN LONG ISLAND HEMATOLOGY ONCOLOGY, P.C.","2","11901","2",40.922326,-72.637078
"1985","EASTERN MAINE HEALTHCARE SYSTEMS INLAND HOSPITAL","1","49014","1",42.303041,-85.13044
"1986","EASTERN MAINE MEDICAL CENTER","12","44016","100",NA,NA
"1987","EASTERN MONTANA RADIOLOGY PC","1","59301","1",46.447808,-105.795343
"1988","EASTERN NIAGARA RADIOLOGY & NUCLEAR MEDICINE ASSOCIATES, PC","7","14094","7",43.168463,-78.706886
"1989","EASTERN OKLAHOMA RADIATION ASSOCIATES, LLC","3","74017","6",36.348616,-95.604344
"1990","EASTERN OREGON RADIOLOGY","3","97850","3",45.29535,-118.164822
"1991","EASTERN PENNSYLVANIA IMAGING CONSULTANTS, PC","6","18042","6",40.683198,-75.264861
"1992","EASTERN PENNSYLVANIA RADIATION ONCOLOGY PC","2","18235","2",40.886664,-75.736164
"1993","EASTERN RADIOLOGICAL ASSOCIATES PC","7","59101","14",45.686966,-108.387392
"1994","EASTERN RADIOLOGIST, INC","52","27834","104",35.631003,-77.381019
"1995","EASTERN SHORE ONCOLOGY PC","1","21601","2",38.800714,-76.051486
"1996","EASTERN SHORE RADIATION ONCOLOGY ASSOC., P.A.","1","21601","1",38.800714,-76.051486
"1997","EASTERN SHORE RADIATION ONCOLOGY, PC","2","36526","2",30.540328,-87.6912
"1998","EASTERN WOODS RADIATION ONCOLOGY","1","45840","1",41.015219,-83.664786
"1999","EASTON RADIOLOGY ASSOCIATES, P.C.","2","18045","8",40.695731,-75.286528
"2000","EASTPOINTE RADIOLOGISTS PC","54","48035","94",42.551185,-82.91672
"2001","EASTPORT HEALTH CARE, INC.","4","46311","4",41.451993,-87.499489
"2002","EASTSIDE HEMATOLOGY ONCOLOGY","1","29615","1",34.938893,-82.358999
"2003","EASTSIDE IMAGING INC","4","77029","4",29.83399,-95.434241
"2004","EASTSIDE MEDICAL RADIOLOGY PLLC","2","10128","4",40.780989,-73.95158
"2005","EASTSIDE MRI LIMITED PARTNERSHIP","5","44094","5",41.637997,-81.377383
"2006","EDGARD PEREIRA MD PA","1","33180","2",25.959719,-80.140267
"2007","EDGEFIELD COUNTY HOSPITAL","3","29824","3",33.767808,-81.987524
"2008","EDGERTON HOSPITAL AND HEALTH SERVICES","3","53534","3",42.803797,-89.101389
"2009","EDGEWATER GYNECOLOGY P A","1","32169","1",29.131714,-81.133519
"2010","EDINGURG RADIOLOGY, LLP","3","78539","3",26.328674,-98.139672
"2011","EDISON IMAGING ASSOCIATES, PA","10","88572","20",31.694842,-106.299987
"2012","EDISON RADIOLOGY GROUP PA","14","88203","15",NA,NA
"2013","EDMUND STEPHEN PETRILLI, M.D., P.C.","1","20110","1",38.749207,-77.487762
"2014","EDUARDO G GOMEZ MD PA","1","33012","2",25.859523,-80.22387
"2015","EDUARDO L. PIGNANELLI, PHYSICIAN P.C.","1","10033","1",40.851293,-73.934764
"2016","EDUARDO O LIM MEDICAL CORPORATION","2","90057","2",33.786594,-118.298662
"2017","EDWARD B ARENSON PROF L L C","1","80113","2",NA,NA
"2018","EDWARD C GREENLEAF","1","95207","2",38.018146,-121.325487
"2019","EDWARD H KAPLAN MD AND ASSOCIATES LTD","2","60076","4",42.057878,-87.883566
"2020","EDWARD H TAN MD PA","1","78503","1",26.182171,-98.33773
"2021","EDWARD HEALTH VENTURES","10","60540","20",41.759029,-88.152381
"2022","EDWARD HOSPITAL","1","60540","1",41.759029,-88.152381
"2023","EDWARD J KAPLAN, MD, PA","2","33313","4",26.148662,-80.207519
"2024","EDWARD R ALEXSON MD INC","1","92705","1",33.707568,-117.845746
"2025","EDWARD W CIPOLLA DO PA","1","80792","2",NA,NA
"2026","EDWARD W SPARROW HOSPITAL ASSOCIATION","7","48912","14",42.740054,-84.524939
"2027","EDWIN J LOEFFEL JR MD PC","1","81201","1",38.629119,-106.120582
"2028","EGBERTO J ZAYAS M D P A","1","33613","1",28.077403,-82.444209
"2029","EIBER RADIOLOGY INC","4","33012","4",25.859523,-80.22387
"2030","EINSTEIN PRACTICE PLAN INC","46","19027","93",40.07501,-75.131518
"2031","EISENHOWER MEDICAL CENTER","9","92270","11",33.703598,-116.431961
"2032","EKG INTERPRETERS OF SALEM COUNTY PA","1","8079","1",NA,NA
"2033","EL PASO IMAGING CONSULTANTS PLLC","2","79905","4",31.767758,-106.438791
"2034","EL PASO INTEGRATED PHYSICIANS GROUP","1","79902","2",31.879779,-106.544218
"2035","EL PASO VINTON DIAGNOSTIC PA","1","79821","1",31.725097,-106.359795
"2036","EL PORTAL RADIATION ONCOLOGY CENTER INC","2","95340","2",37.338191,-120.475427
"2037","EL SENORIAL CENTRO DE IMAGENES","1","92632","1",NA,NA
"2038","ELAINE A BEED M D INC","1","43081","2",40.10447,-82.896457
"2039","ELAINE Y CHANG, MD, INC","1","98198","2",47.432251,-121.803388
"2040","ELBERT MEMORIAL HOSPITAL","1","30635","1",34.129737,-82.840971
"2041","ELICA HEALTH CENTERS","1","95691","1",38.608615,-121.610919
"2042","ELITE IMAGING, LLC","38","33180","83",25.959719,-80.140267
"2043","ELITE ONCOLOGY MEDICAL GROUP, INC.","2","90066","4",33.786594,-118.298662
"2044","ELITE VEIN CENTER OF DESTIN LLC","1","36535","4",30.467608,-87.692401
"2045","ELIZABETH A JEKOT MD PA","1","75080","2",32.962811,-96.726826
"2046","ELIZABETH A WHALEN MD LLC","1","67903","1",NA,NA
"2047","ELIZABETH PUSEY MD INC","1","92663","1",33.61837,-117.91709
"2048","ELIZABETH TAN-CHIU MD PA","1","33324","2",26.125463,-80.264371
"2049","ELIZABETH WEATHERFORD MD PC","1","35674","1",34.66604,-87.749232
"2050","ELIZABETH WENDE BREAST CARE LLC","7","14620","7",43.129862,-77.618523
"2051","ELIZABETHTOWN HEMATOLOGY-ONCOLOGY PLC","3","42701","3",37.684807,-85.878391
"2052","ELK GROVE RADIOLOGY S.C.","10","60101","10",41.887579,-88.022516
"2053","ELKHART CLINIC,LLC","3","46514","3",41.71873,-85.937024
"2054","ELKO DIAGNOSTIC IMAGING LLC","1","89801","1",40.905583,-115.534429
"2055","ELLIOT PROFESSIONAL SERVICES","3","31033","21",33.056543,-83.424672
"2056","ELLIOTH FISHKIN MD LLC","1","72031","1",35.568709,-92.41875
"2057","ELLIS BANDT BIRKIN KOLLINS & WONG PC","54","89052","56",35.987798,-115.116652
"2058","ELLIS HOSPITAL","2","12308","2",42.835926,-73.920467
"2059","ELLSWORTH GRANT, M.D., MEDICAL CORP","1","90017","2",33.786594,-118.298662
"2060","ELMHURST MEMORIAL HEALTHCARE","5","60126","110",41.88353,-87.946413
"2061","ELMHURST MEMORIAL INTERVENTIONAL RADIOLOGY SERVICES LLC","1","60126","1",41.88353,-87.946413
"2062","ELMHURST RADIOLOGISTS, SC","8","60126","8",41.88353,-87.946413
"2063","ELMWOOD MRI, LTD.","1","70002","1",30.008003,-90.176491
"2064","ELOY ROMAN MD PA","1","33014","2",25.910972,-80.290572
"2065","EMANUEL MEDICAL GROUP","2","95382","4",37.530174,-120.851857
"2066","EMBRACE HOME HEALTH PHYSICIANS","1","48075","1",42.462215,-83.230578
"2067","EMERALD COAST ONCOLOGY","3","32550","3",NA,NA
"2068","EMERARDO FALCON JR MD PA","2","77566","2",29.09609,-95.425232
"2069","EMERGENCE TELERADIOLOGY, LLC","2","65721","5",36.972577,-93.122301
"2070","EMERGENCY & ACUTE CARE MEDICAL CORPORATION","16","95608","16",38.62136,-121.332191
"2071","EMERGENCY MEDICINE PHYSICIANS OF FAIRFIELD COUNTY, LLC","1","6902","2",NA,NA
"2072","EMERSON PRACTICE ASSOCIATES, INC","1","17424","1",NA,NA
"2073","EMERYVILLE ADVANCED IMAGING CENTER","4","94608","4",37.833876,-122.29548
"2074","EMIL WASSEF PHYSICIAN PC","1","10598","1",41.287329,-73.790284
"2075","EMORY MEDICAL CARE FOUNDATION INC","95","30303","216",33.752456,-84.392026
"2076","EMORY SPECIALTY ASSOCIATES, LLC","6","30329","6",33.826553,-84.324874
"2077","EMPIRE MEDICAL OF ROCKAWAY BEACH PC","1","11693","1",40.59846,-73.81427
"2078","ENCOMPASS MEDICAL GROUP, PA","6","66214","11",38.964879,-94.720914
"2079","ENDOVASCULAR & INTERVENTIONAL ASSOCIATES INC","1","28524","2",34.873922,-76.587097
"2080","ENDOVASCULAR THERAPY ASSOCIATES,INC","3","33176","3",25.558428,-80.458168
"2081","ENG HUAN & TIN HLA MEDICAL CORPORATION","1","95116","1",37.35504,-121.835344
"2082","ENGLEWOOD RADIATION ONCOLOGY, LLC","2","7631","2",NA,NA
"2083","ENGLEWOOD RADIOLOGIC GROUP PA","15","76311","15",33.968945,-98.505933
"2084","ENID RADIOLOGY PLLC","4","73701","4",36.402681,-97.843091
"2085","ENID UROLOGY ASSOCIATES, INC.","1","73701","1",36.402681,-97.843091
"2086","ENLOE SPECIALTY PHYSICIANS, INC","7","95926","7",39.746159,-121.840083
"2087","ENT AND ALLERGY HEALTH SERVICES INC","2","44070","4",41.417347,-81.922461
"2088","ENTERPRISE RADIOLOGY PC","10","10033","10",40.851293,-73.934764
"2089","ENVISION DIAGNOSTIC CENTER PLLC","6","48377","12",42.49917,-83.477335
"2090","ENVISION RADIOLOGY, PLLC","3","49417","3",43.008786,-86.129031
"2091","EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER INCORPORATED","5","40422","5",37.636006,-84.849682
"2092","EPHRATA COMMUNITY HOSPITAL","3","17522","3",40.169662,-76.356933
"2093","EPHRATA RADIOLOGIC ASSOCIATES LTD","8","17522","8",40.169662,-76.356933
"2094","EPHRATA REGIONAL RADIATION ONCOLOGY PC","2","17522","2",40.169662,-76.356933
"2095","EPIC IMAGING PC","15","97220","16",45.55634,-122.556104
"2096","EPIRAD INC.,","1","34994","2",27.189748,-80.254768
"2097","EPLUS ONCOLOGICS MISSISSIPPI, LLC","1","39440","1",31.711733,-89.114317
"2098","ERB JOINT VENTURE LLP","3","75150","3",32.790964,-96.635868
"2099","ERIC LADENHEIM, M.D., INC.","1","95340","3",37.338191,-120.475427
"2100","ERIE COUNTY MEDICAL CENTER CORPORATION","2","14215","2",42.932957,-78.812252
"2101","ERNIE P. BALCUEVA MD PC","1","48602","2",43.42926,-84.056977
"2102","ESCORIAL MRI & CT IMAGING CENTER, PSC","1","984","2",NA,NA
"2103","ESSEN MEDICAL ASSOCIATES,PC","1","10468","1",40.870978,-73.900505
"2104","ESSEX ONCOLOGY OF NORTH JERSEY, PA","6","71094","6",NA,NA
"2105","ETOWAH REGIONAL MEDICAL SERVICES PC","1","30114","1",34.250547,-84.49093
"2106","EUREKA DIAGNOSTIC IMAGING PC","5","51563","5",41.634002,-95.788095
"2107","EUREKA INTERNAL MEDICINE","2","95501","4",40.646324,-124.025773
"2108","EVAC LLC","6","85225","12",33.325991,-111.824367
"2109","EVANSVILLE MULTI-SPECIALTY CLINIC, PC","1","47715","1",37.984202,-87.489212
"2110","EVANSVILLE RADIOLOGY, P.C.","12","47710","24",38.029714,-87.569024
"2111","EVERETT CLINIC INC","7","98201","18",47.988661,-122.199795
"2112","EVERETT RADIA LLC","42","98201","42",47.988661,-122.199795
"2113","EVERGREEN HEMATOLOGY AND ONCOLOGY PS","2","99218","4",47.75754,-117.407552
"2114","EVERGREEN RADIA LLC","56","98034","56",47.725139,-122.205646
"2115","EVMS ACADEMIC PHYSICIANS AND SURGEONS HEALTH SERVICES FOUNDATION","6","23507","30",36.865697,-76.299862
"2116","EXCEL MEDICAL IMAGING LLC","5","34652","5",28.239369,-82.736882
"2117","EXCELCARE MEDICAL ASSOCIATES PA","7","76214","7",NA,NA
"2118","EXEMPLA GOOD SAMARITAN MEDICAL CENTER","10","80026","10",40.026334,-105.104899
"2119","EXEMPLA INC.","6","80218","12",39.720236,-104.968759
"2120","EXETER HOSPITAL, INC","2","3833","2",NA,NA
"2121","EXPERT CANCER PHYSICIANS,PLLC","1","78412","1",27.68456,-97.351868
"2122","F DANIEL JACKSON, MD, PA","1","21502","1",39.59915,-78.844425
"2123","F E K ADDO MD PC","1","58601","1",46.805716,-102.756514
"2124","F&S RADIOLOGY PC","104","32653","183",29.772819,-82.378158
"2125","F. B. FITTS JR., M.D. PC","1","83318","1",42.399472,-113.848558
"2126","F. LINDA ORO-CASTILLO M.D., P.A.","1","75020","2",33.76672,-96.546662
"2127","FACEY MEDICAL FOUNDATION","17","91325","23",33.786594,-118.298662
"2128","FACULTY ASSOCIATES INCORPORATED","1","32610","1",29.681312,-82.353862
"2129","FACULTY MEDICAL GROUP OF LLUSM","12","92354","13",34.839964,-115.967051
"2130","FACULTY PHYSICIANS & SURGEONS OF LLUSM","60","92354","247",34.839964,-115.967051
"2131","FACULTY PRACTICE ASSOCIATES MOUNT SINAI SCHOOL OF MEDICINE","56","10029","110",40.791884,-73.943517
"2132","FACULTY PRACTICE FOUNDATION INC","20","21182","20",NA,NA
"2133","FAHED FAYAD MD PA","1","33136","1",25.783426,-80.204469
"2134","FAIR OAKS IMAGING CENTER PC","9","22033","9",38.879466,-77.378858
"2135","FAIRBANKS CANCER CARE PHYSICIANS","2","99701","4",64.644047,-147.522052
"2136","FAIRBANKS MEDICAL IMAGING LLC","7","99709","7",64.860126,-147.999791
"2137","FAIRFAX RADIOLOGICAL CONSULTANTS PC","82","20126","914",NA,NA
"2138","FAIRFIELD COUNTY BARIATICS & SURGICAL SPECIALIST","1","68515","1",NA,NA
"2139","FAIRFIELD COUNTY MEDICAL SERVICES","1","68563","1",NA,NA
"2140","FAIRFIELD HEALTHCARE PROFESSIONALS INC","6","43130","12",39.68965,-82.609282
"2141","FAIRFIELD RADIATION ONCOLOGY LCC","2","66065","2",NA,NA
"2142","FAIRGROVE RADIATION ONCOLOGY, PA","2","28677","2",35.773406,-80.901036
"2143","FAIRVIEW HEALTH SERVICES","77","55454","182",44.980859,-93.252524
"2144","FAIRVIEW HEIGHTS MEDICAL GROUP SC","2","62010","4",38.923994,-90.054615
"2145","FAJARDO IMAGING INC","1","73848","1",36.764793,-99.765785
"2146","FAJARDO IMAGING MRI CSP","1","745","2",NA,NA
"2147","FAMILY CANCER CENTER FOUNDATION, INC","8","38671","13",34.956633,-89.99624
"2148","FAMILY CARE CENTERS INC","3","18301","15",41.089642,-75.199705
"2149","FAMILY CARE MEDICAL CENTER INC","1","32825","2",28.535094,-81.220237
"2150","FAMILY DERMATOLOGY CO","1","98239","1",48.1894,-122.66765
"2151","FAMILY DOCTORS, LLC","1","19072","1",40.020911,-75.259975
"2152","FAMILY HEALTH CENTER OF WORCESTER, INC.","6","16102","6",40.9613,-80.408502
"2153","FAMILY HEALTH GROUP INC.","3","38485","12",35.345882,-87.775459
"2154","FAMILY RADIOLOGY INC.","3","90505","5",33.786594,-118.298662
"2155","FARMERS UNION HOSPITAL ASSOCIATION","38","73644","38",35.320621,-99.624253
"2156","FARZAM KASHANIAN M.D., P.C","1","11229","2",40.600988,-73.939998
"2157","FAUQUIER HEALTH PHYSICIAN SERVICES LLC","1","20186","1",38.689832,-77.836115
"2158","FAUQUIER PHYSICIAN PRACTICES LLC","1","20186","2",38.689832,-77.836115
"2159","FAWCETT MEDICAL IMAGING PA","12","33952","12",26.994048,-82.156128
"2160","FAXTON ST LUKES HEALTHCARE","2","13413","6",43.067369,-75.290911
"2161","FAYETTE MEMORIAL HOSPITAL ASSOCIATION INC","1","47331","1",39.656933,-85.168099
"2162","FAYETTE ONCOLOGY ASSOCIATES","4","15401","8",39.944884,-79.770063
"2163","FAYLONA, GOLLARD, KAUSHAL, NYAMUSWA & PARK LTD","11","89148","17",36.062903,-115.272463
"2164","FCHC MEDICAL CARE, LLC","2","43567","4",41.59151,-84.178148
"2165","FERNANDO C MALAMUD MD PA","1","32405","1",30.205121,-85.668892
"2166","FERRELL-DUNCAN CLINIC","19","65807","19",37.158811,-93.348705
"2167","FIDELIS RADIOLOGY, INC.","2","74137","4",36.017296,-95.93902
"2168","FIELD MEMORIAL COMMUNITY HOSPITAL","1","39631","3",31.134359,-91.175079
"2169","FIFTH AVENUE MEDICAL HEALTHCARE PC","2","10128","2",40.780989,-73.95158
"2170","FIKRY F IBRAHIM MD PC","1","48236","4",42.239933,-83.150823
"2171","FINGER LAKES HEMATOLOGY & ONCOLOGY PLLC","2","14432","2",42.962932,-77.150097
"2172","FINGER LAKES RADIOLOGY, LLC","4","14456","4",42.857414,-77.034883
"2173","FINIZIO-RADIOLOGY IMAGING ASSOCIATES, P.C.","16","20603","88",38.52115,-77.062012
"2174","FIRELANDS RADIOLOGY INC","11","44857","11",41.204562,-82.573222
"2175","FIRST CARE MEDICAL SERVICES","3","56542","3",47.597727,-96.270444
"2176","FIRST CHOICE MEDICAL GROUP OF BREVARD LLC","1","32901","4",28.012189,-80.585519
"2177","FIRST CHOICE PHYSICIAN PARTNERS","1","95350","1",37.669463,-121.016796
"2178","FIRST COAST ONCOLOGY PA","4","32034","12",30.60778,-81.682889
"2179","FIRST DAYTON RADIATION ONCOLOGY INC","2","45420","2",39.717059,-84.134172
"2180","FIRST IMAGING OF THE CAROLINAS LLC","5","28374","15",35.211461,-79.413311
"2181","FIRST MEDICAL CENTER IN","2","90703","2",33.866914,-118.068648
"2182","FIRST MERIDIAN MEDICAL CORPORATION","4","23455","8",36.888865,-76.146757
"2183","FIRST STATE ORTHOPAEDICS PA","2","19713","16",39.665662,-75.719349
"2184","FIRST UROLOGY PSC","3","47130","9",38.404909,-85.716548
"2185","FIRSTHEALTH OF THE CAROLINAS, INC.","5","28374","5",35.211461,-79.413311
"2186","FIRSTHEALTH-UNCHCS LLC","1","27330","2",35.469782,-79.171723
"2187","FIRSTMED HEALTH AND WELLNESS CENTER INC","1","89169","1",NA,NA
"2188","FIVE RIVERS HEALTH CENTERS","2","45409","2",39.723809,-84.185439
"2189","FIVE RIVERS MEDICAL CENTER INC","1","72455","1",36.324042,-91.084748
"2190","FLAGET HEALTHCARE INC","2","40004","2",37.822585,-85.466944
"2191","FLAGLER DIAGNOSTIC CENTER INC","2","33144","4",25.766427,-80.304172
"2192","FLAVIO CASTANEDA MD PA","1","78041","2",27.556714,-99.475079
"2193","FLETCHER ALLEN HEALTH CARE, INC","64","5401","711",NA,NA
"2194","FLETCHER ALLEN MEDICAL GROUP,PLLC","1","12983","2",44.583429,-74.272104
"2195","FLETCHER HOSPITAL INCORPORATED","4","28792","4",35.317413,-82.450455
"2196","FLEXOGENIX, INC","2","90014","4",33.786594,-118.298662
"2197","FLORENCE RADIOLOGICAL","13","29506","13",34.061465,-79.622227
"2198","FLORIDA CANCER AFFILIATES PL","5","34655","5",28.216016,-82.67162
"2199","FLORIDA CANCER PHYSICIANS NETWORK LLC","9","34474","16",29.150148,-82.137774
"2200","FLORIDA CANCER SPECIALISTS P L","154","34236","409",27.326863,-82.543319
"2201","FLORIDA CLINICAL PRACTICE ASSOCIATION INC","94","32606","294",29.697133,-82.403746
"2202","FLORIDA DIAGNOSTIC IMAGING, INC","1","32905","2",27.96861,-80.611642
"2203","FLORIDA HEALTH CARE PLANS INC","3","32127","6",29.113539,-80.976485
"2204","FLORIDA HEMATOLOGY & ONCOLOGY CENTER P.A.","1","33511","1",27.903679,-82.294021
"2205","FLORIDA HOSPITAL MEDICAL GROUP INC","23","32828","45",28.529582,-81.175502
"2206","FLORIDA HOSPITAL ZEPHYRHILLS INC","1","33540","1",28.240942,-82.156491
"2207","FLORIDA INSTITUTE OF HEALTH LTD LLLP","1","33313","1",26.148662,-80.207519
"2208","FLORIDA INTERNATIONAL UNIVERSITY BOARD OF TRUSTEES","1","33199","2",25.558428,-80.458168
"2209","FLORIDA KEYS RADIOLOGY ASSOC","2","33050","2",24.687724,-81.294685
"2210","FLORIDA MEDICAL CLINIC PA","8","33542","56",NA,NA
"2211","FLORIDA MEDICAL SPECIALISTS LLC","4","34233","6",27.127372,-82.423776
"2212","FLORIDA MUSCULOSKELETAL SURGICAL GROUP LLC","1","33703","1",27.816003,-82.62092
"2213","FLORIDA NEUROLOGY GROUP P L","9","33907","9",26.634845,-81.959923
"2214","FLORIDA ONCOLOGY NETWORK PA","11","32792","11",28.597377,-81.303592
"2215","FLORIDA PHYSICIAN SPECIALISTS LLC","4","32204","8",30.323539,-81.681068
"2216","FLORIDA PHYSICIANS MEDICAL GROUP INC","60","32751","120",28.625476,-81.36459
"2217","FLORIDA PROTON THERAPY INSTITUTE INC","10","32206","10",30.352488,-81.665918
"2218","FLORIDA RADIOLOGY CONSULTANTS PA","10","33919","20",26.572627,-81.937186
"2219","FLORIDA RADIOLOGY IMAGING AT LAKE MARY LLC","58","32746","228",28.7577,-81.350772
"2220","FLORIDA RADIOLOGY LEASING LLC","17","33907","17",26.634845,-81.959923
"2221","FLORIDA RADIOLOGY SPECIALISTS, P.L.","2","34994","2",27.189748,-80.254768
"2222","FLORIDA RADIOLOGY STAFFING SOLUTIONS PA","5","34228","6",27.357231,-82.443071
"2223","FLORIDA UNITED RADIOLOGY LC","14","33324","76",26.125463,-80.264371
"2224","FLORIDA UROLOGY CENTER PA","2","32174","4",29.30766,-81.177846
"2225","FLORIDA UROLOGY PARTNERS LLP","1","33617","2",28.030714,-82.386351
"2226","FLORIDA WOMAN CARE LLC","3","33180","6",25.959719,-80.140267
"2227","FLOWER HOSPITAL","4","43560","8",41.6929,-83.727737
"2228","FLOYD A OSTERMAN JR MD P A","1","33180","1",25.959719,-80.140267
"2229","FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES","4","47150","4",38.293355,-85.837911
"2230","FLOYD VALLEY HOSPITAL","3","51031","3",42.749146,-96.261735
"2231","FLUSHING HOSPITAL MEDICAL CENTER","1","11355","1",40.750317,-73.813903
"2232","FLUSHING RADIATION ONCOLOGY SERVICES, PLLC","6","11354","12",40.766382,-73.82619
"2233","FMC URGENT CARE LLC","5","33542","5",NA,NA
"2234","FOCUS MEDICAL IMAGING","7","91801","7",33.786594,-118.298662
"2235","FOLSOM DERMATOLOGY","1","95630","1",38.594181,-121.310796
"2236","FORSYTH MEMORIAL HOSPITAL., INC.","13","27103","15",36.058599,-80.320965
"2237","FORT BEND IMAGING INC","3","77478","3",29.525461,-95.756462
"2238","FORT COLLINS RADIOLOGIC ASSOCIATES PC","26","80524","70",40.59889,-105.252751
"2239","FORT HEALTHCARE, INC","45","53538","138",42.926467,-88.841626
"2240","FORT LAUDERDALE MOBILE ULTRASOUND INC","1","33317","2",26.091765,-80.286534
"2241","FORT MADISON COMMUNITY HOSPITAL","1","52627","1",40.596949,-91.434473
"2242","FORT SANDERS OBSTETRICAL AND GYNECOLOGICAL GROUP, PC","1","37916","3",35.933783,-83.973635
"2243","FORT SMITH HMA PBC MANAGEMENT, LLC","3","72901","6",35.231245,-94.339412
"2244","FORT SMITH RADIATION ONCOLOGY","1","72908","1",35.321912,-94.402779
"2245","FORT WASHINGTON RADIOLOGICAL ASSOCIATES PC","19","19034","38",40.130959,-75.207437
"2246","FORT WAYNE MEDICAL ONCOLOGY AND HEMATOLOGY INC","15","46804","30",41.057168,-85.239172
"2247","FORT WAYNE RADIOLOGY ASSOCIATION, LLC","20","45879","40",41.121205,-84.532406
"2248","FOSTORIA HOSPITAL ASSOCIATION","1","44830","1",41.159551,-83.152472
"2249","FOUNDATION FOR OSTEOPOROSIS RESEARCH & EDUCATION","1","94612","2",37.809435,-122.27018
"2250","FOUNDATION MEDICAL PARTNERS INC","3","30311","9",33.724907,-84.468329
"2251","FOUNDATION RADIOLOGY GROUP PC","59","21030","86",39.491227,-76.664077
"2252","FOUR CORNERS RADIATION ONCOLOGY PC","1","87401","1",36.826248,-108.100535
"2253","FOUR CORNERS RADIOLOGY ASSOCIATES PC","6","87401","6",36.826248,-108.100535
"2254","FOX CHASE CANCER CENTER MEDICAL GROUP, INC","66","19111","68",40.06317,-75.081317
"2255","FOX VALLEY HEMATOLOGY & ONCOLOGY, S.C.","9","54911","25",44.275702,-88.370856
"2256","FOX VALLEY HEMATOLOGY INC","6","60123","12",42.036325,-88.371044
"2257","FOX VALLEY RADIATION ONCOLOGY LLC","4","60540","8",41.759029,-88.152381
"2258","FPA HOSPITAL BASED","6","10029","11",40.791884,-73.943517
"2259","FR-MO MEDICAL GROUP PSC","1","95600","2",NA,NA
"2260","FRANCES MAHON DEACONESS HOSPITAL","1","59230","1",48.43923,-106.474987
"2261","FRANCESCA M. HOEHNE, MD, INC","1","93311","1",35.294405,-118.905173
"2262","FRANCISCAN HAMMOND CLINIC LLC","6","46321","6",41.550535,-87.502585
"2263","FRANCISCAN MEDICAL GROUP","3","98405","13",47.247871,-122.472793
"2264","FRANCISCAN MEDICAL SPECIALISTS","1","46321","1",41.550535,-87.502585
"2265","FRANCISCAN PHYSICIAN NETWORK","12","60477","12",42.143475,-88.026517
"2266","FRANCISCAN ST ELIZABETH HEALTH","5","47904","5",40.482287,-86.917273
"2267","FRANCISCO H DEXEUS M D INC","1","73701","1",36.402681,-97.843091
"2268","FRANK A YARUSSI MD AND ASSOCIATES","3","15317","3",40.155704,-80.12842
"2269","FRANK A. TOMAO, MD,JOHN S.MARINO,MD,BRIAN T.MCNELIS,MD,PC","4","11042","4",40.754757,-73.601772
"2270","FRANK GAUDIER GUERRA MD","1","910","2",NA,NA
"2271","FRANK M FAYZ MD PC","1","48126","2",42.271811,-83.225877
"2272","FRANK OLNEY & RUDY NICOLAS PTRS","1","16602","1",40.508219,-78.382635
"2273","FRANKLIN & SEIDELMANN INC","6","15044","7",40.434436,-80.024817
"2274","FRANKLIN MEDICAL CONSULTANTS, P.C.","1","48034","2",42.478495,-83.279164
"2275","FRANKLIN MEMORIAL HOSPITAL","4","49386","16",NA,NA
"2276","FRANKLIN RADIATION LLC","1","46131","2",39.469172,-86.068718
"2277","FRANKLIN RADIOLOGY ASSOCIATES, M.D.P.A.","2","49386","2",NA,NA
"2278","FRANKLIN RICHARD LANG,MD","6","28721","12",35.637588,-82.978588
"2279","FRANKLIN SQUARE HOSPITAL CENTER INC","6","21237","9",39.339957,-76.488035
"2280","FRED SMELTZER MD & ASSOCIATES INC","28","60515","36",41.796279,-88.012267
"2281","FREDERICK G. BARR, M.D., P.C.","1","20815","1",38.983759,-77.079449
"2282","FREDERICK MEMORIAL HOSPITAL INC","13","21702","102",39.492596,-77.461211
"2283","FREDERICK ONCOLOGY HEMATOLOGY ASSOCIATES, P.C.","5","21702","18",39.492596,-77.461211
"2284","FREDERICK P SMITH, M.D., P.C.","2","20815","4",38.983759,-77.079449
"2285","FREDERICK'S RADIOLOGY & DIAGNOSTIC CENTER, LLC","1","21701","2",39.512748,-77.369299
"2286","FREDERICKSBURG ONCOLOGY, INC.","1","22401","2",38.295135,-77.483689
"2287","FREEDOM URGENT CARE, LLC","2","76548","4",31.028627,-97.611484
"2288","FREEHOLD AREA RADIOLOGY, P.A.","13","77282","26",29.83399,-95.434241
"2289","FREEHOLD MR ASSOCIATES, P.A.","12","77282","30",29.83399,-95.434241
"2290","FREEHOLD OBSERVATIONALIST PHYSICIANS, PC","1","77282","1",29.83399,-95.434241
"2291","FREEHOLD RADIOLOGY GROUP, P.A.","13","77282","26",29.83399,-95.434241
"2292","FREEMAN-OAKHILL HEALTH SYSTEM","15","64804","16",37.099335,-94.374452
"2293","FREEPORT MEMORIAL HOSPITAL","8","61032","8",42.323529,-89.591606
